data_loader_1  | loading zilusd with 8299 lines
data_loader_1  | loading euteur with 202 lines
data_loader_1  | loading paiusd with 49983 lines
data_loader_1  | loading odeeth with 5914 lines
data_loader_1  | loading requsd with 5775 lines
data_loader_1  | loading foaeth with 340 lines
data_loader_1  | loading zrxdai with 207 lines
data_loader_1  | loading chzust with 47 lines
data_loader_1  | loading rcneth with 33649 lines
data_loader_1  | loading mlneth with 410 lines
data_loader_1  | loading xvgeur with 3980 lines
data_loader_1  | loading waxbtc with 11594 lines
data_loader_1  | loading neojpy with 23112 lines
data_loader_1  | loading swmeth with 235 lines
data_loader_1  | loading trxusd with 273507 lines
data_loader_1  | loading enjusd with 2755 lines
data_loader_1  | loading ethbtc with 1209767 lines
data_loader_1  | loading ltcusd with 1459707 lines
data_loader_1  | loading zrxeth with 41923 lines
data_loader_1  | loading fttust with 2388 lines
data_loader_1  | loading poaeth with 814 lines
data_loader_1  | loading sntbtc with 44969 lines
data_loader_1  | loading omgeth with 154780 lines
data_loader_1  | loading eoseth with 343824 lines
data_loader_1  | loading senbtc with 1464 lines
data_loader_1  | loading ncausd with 1741 lines
data_loader_1  | loading rrbusd with 1132 lines
data_loader_1  | loading veebtc with 3666 lines
data_loader_1  | loading mnabtc with 24934 lines
data_loader_1  | loading ustusd with 242636 lines
data_loader_1  | loading zcnbtc with 335 lines
data_loader_1  | loading seebtc with 79530 lines
data_loader_1  | loading ampust with 122764 lines
data_loader_1  | loading boxusd with 3020 lines
data_loader_1  | loading wlousd with 13545 lines
data_loader_1  | loading neobtc with 366415 lines
data_loader_1  | loading aucbtc with 927 lines
data_loader_1  | loading drnusd with 834 lines
data_loader_1  | loading dshbtc with 471947 lines
data_loader_1  | loading dtausd with 3176 lines
data_loader_1  | loading daibtc with 11559 lines
data_loader_1  | loading elfusd with 251286 lines
data_loader_1  | loading eosbtc with 672316 lines
data_loader_1  | loading rbtbtc with 173877 lines
data_loader_1  | loading vldeth with 823 lines
data_loader_1  | loading dtheth with 7794 lines
data_loader_1  | loading xrpbtc with 719832 lines
data_loader_1  | loading mkrusd with 13501 lines
data_loader_1  | loading iqxusd with 10557 lines
data_loader_1  | loading repbtc with 18726 lines
data_loader_1  | loading essbtc with 550 lines
data_loader_1  | loading tnbusd with 72822 lines
data_loader_1  | loading bcibtc with 34278 lines
data_loader_1  | loading genusd with 8019 lines
data_loader_1  | loading veeusd with 6407 lines
data_loader_1  | loading paibtc with 42575 lines
data_loader_1  | loading mtneth with 17695 lines
data_loader_1  | loading udcusd with 3931 lines
data_loader_1  | loading dshusd with 621853 lines
data_loader_1  | loading okbusd with 53 lines
data_loader_1  | loading bttusd with 16966 lines
data_loader_1  | loading snteth with 31594 lines
data_loader_1  | loading poyeth with 41513 lines
data_loader_1  | loading aucusd with 2136 lines
data_loader_1  | loading rcnbtc with 69296 lines
data_loader_1  | loading geneth with 12507 lines
data_loader_1  | loading auceth with 1225 lines
data_loader_1  | loading algusd with 2142 lines
data_loader_1  | loading manusd with 5707 lines
data_loader_1  | loading bntbtc with 977 lines
data_loader_1  | loading utnusd with 3086 lines
data_loader_1  | loading vsyusd with 135463 lines
data_loader_1  | loading eususd with 2161 lines
data_loader_1  | loading btcust with 103332 lines
data_loader_1  | loading gnteth with 34481 lines
data_loader_1  | loading yyweth with 29227 lines
data_loader_1  | loading xvgjpy with 2749 lines
data_loader_1  | loading omgbtc with 365526 lines
data_loader_1  | loading lymbtc with 95426 lines
data_loader_1  | loading ufreth with 267 lines
data_loader_1  | loading ltcust with 10398 lines
data_loader_1  | loading aidusd with 27520 lines
data_loader_1  | loading ncabtc with 521 lines
data_loader_1  | loading bfteth with 102780 lines
data_loader_1  | loading etpusd with 431798 lines
data_loader_1  | loading mnaeth with 8984 lines
data_loader_1  | loading eosust with 16895 lines
data_loader_1  | loading gntusd with 95807 lines
data_loader_1  | loading funusd with 74136 lines
data_loader_1  | loading ampusd with 98413 lines
data_loader_1  | loading agieth with 20756 lines
data_loader_1  | loading iotjpy with 34547 lines
data_loader_1  | loading utneth with 7075 lines
data_loader_1  | loading cndusd with 1204 lines
data_loader_1  | loading xlmeth with 14454 lines
data_loader_1  | loading hotusd with 7633 lines
data_loader_1  | loading goteur with 11746 lines
data_loader_1  | loading seeusd with 5467 lines
data_loader_1  | loading zileth with 1390 lines
data_loader_1  | loading cnneth with 66744 lines
data_loader_1  | loading daiusd with 37526 lines
data_loader_1  | loading atousd with 7927 lines
data_loader_1  | loading wtceth with 1561 lines
data_loader_1  | loading dadusd with 2269 lines
data_loader_1  | loading xcheth with 2438 lines
data_loader_1  | loading looeth with 173 lines
data_loader_1  | loading poybtc with 2655 lines
data_loader_1  | loading orsusd with 4794 lines
data_loader_1  | loading bnteth with 509 lines
data_loader_1  | loading trxjpy with 20255 lines
data_loader_1  | loading lrcbtc with 4759 lines
data_loader_1  | loading rdnbtc with 3674 lines
data_loader_1  | loading zilbtc with 4553 lines
data_loader_1  | loading stjeth with 2186 lines
data_loader_1  | loading repusd with 18984 lines
data_loader_1  | loading btcxch with 976 lines
data_loader_1  | loading funbtc with 43134 lines
data_loader_1  | loading spkusd with 36708 lines
data_loader_1  | loading xlmusd with 93682 lines
data_loader_1  | loading dtabtc with 3562 lines
data_loader_1  | loading dtaeth with 775 lines
